Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.360999701,0.570385926,0.91598104,1.184557509,2.378693853,4.163525253,6.76023965,15.07235736,24.8974003,36.18644004,51.3,60.2,61.5933,64.2,65.956,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,90.0,91.16,92.7014,94.64,91.9129,92.3,93.2917,94.0,
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0021226879167881383,0.023497184321870514,0.14044954149547748,0.36772097038380663,0.5878267378690429,1.0700208583150643,1.7944719088187484,3.514582491942336,4.9657250904192685,7.0557819225410965,10.24095362721342,18.247420875011684,22.59509236827302,29.259230480127783,34.7616179245283,40.81983993180527,45.284263322884016,50.69767986296155,55.08397863818425,58.58878582346198,59.10559724349158,61.70684581053844,63.45736185487746,66.47963569020325,67.34543854025874,71.34461314363143,73.41433728649068,75.97717319567546,78.73075177857909,81.78813906463581,84.71779998034785,86.23272506838609,87.2227451727541
Switzerland,CHE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.595714223,1.17995597,1.751713322,2.167270203,2.720004329,3.552007211,4.549656748,15.1,24.8,34.0,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.193,85.2,86.34,83.6173,87.4791,89.1347,89.6861,91.8,93.1461,94.3499,95.5694,96.8046,97.3444
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.4738,28.1779,31.1753,34.4978,35.9,37.3,41.56,45.0,52.2496,55.05,58.0,61.11,76.6296,83.5586,82.3275,84.9,85.0176,87.4593,88.8045,90.6769,94.1192
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.00016868,0.001168115,0.00495471,0.013081692,0.032394861,0.168540297,0.708187957,1.77591,2.63965,4.5957,6.2,7.3,8.52326,10.5232,16.0,22.6,28.9,34.3,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113,77.4827
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231462,0.395748,0.497929,0.75867,0.849282,1.03924,1.5249,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,38.44,41.2078,43.8399,37.5465,36.289,36.0166,38.7504,38.4133,
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,0.006768744,0.013216341,0.129067581,0.25212,0.277051,0.360872,0.587623,0.976075,1.40265,2.02874,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.2149,18.3,20.6,23.203,29.7,36.5392,41.2264,42.5456,43.8629,
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.000108207,0.000211213,0.000413065,0.001009076,0.00590211,0.0114758,0.0927907,0.134915,0.196208,0.238038,0.296054,0.37,0.44,0.56,0.72,1.2,1.67996,2.2,3.0,3.8,10.1,8.6199,11.7,16.4812,19.8388,26.17,27.24,
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.00352686,0.003469104,0.003415143,0.016791049,0.026354700000000002,0.0322236,0.15725,0.460014,1.0775,1.46342,2.00799,2.7597,4.28751,4.5,5.0,5.6,6.1067,6.6,7.11,7.61597,8.12195,8.65,,,24.8206,32.7417,36.2469,
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.20753,2.8542,4.6,7.38892,9.11869,11.0073,15.3417,21.8,25.6,30.0,36.5,40.3509,48.98,51.7,52.5681,55.905,58.1365,62.2599,64.1264,65.0069,69.7953,73.0284,72.7964,
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.03787097,0.148162964,0.271741,0.443068,0.55487,0.848189,1.32733,2.0,2.2,2.5,3.0,3.5,5.1,5.5,5.9753,6.5,6.98,7.45916,7.93832,8.47817,,16.3838,21.16321517,27.33694319,,
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,0.24096792,0.472735008,1.159982461,1.82244,2.68533,3.51876,4.32489,5.31883,6.07409,6.80891,8.28322,14.0,21.0,30.0,32.0,34.74,37.5,40.26,42.683,50.3228,57.1621,59.5,61.9434,69.3734,71.3752,72.1021,
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.80025,9.55948,19.8949,20.3336,20.7923,22.07,25.1,28.4,32.29,34.33,36.5,39.2122,47.5,45.96,53.0,59.763,65.8804,71.5817,73.4797,81.2026,80.5302,82.749,82.598,85.127
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.23916023463400618,0.6023596909068923,0.8734232531007832,1.5149214688871993,2.1640107963097535,3.6750237616041233,5.649885165421333,9.595382581319308,12.94046022704912,14.995415518671653,17.550359724182513,20.665026391245355,23.98757156753648,28.173769766071967,33.12250804341381,36.779105882748446,40.647561926401146,43.786670171512945,45.47331886703518,48.79372586659269,50.90668926026573,52.96808122160191,56.3768430124934,60.75334311313896,67.60989076001194,73.61023384323171,77.51697333042166,80.74642830543142,
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0000917,0.031949001,0.068220214,0.226699199,0.314690541,0.541183,1.07975,3.77059,5.24127,8.40798,9.73806,11.1596,11.69,12.94,14.33,15.9,16.0173,21.2,27.93,29.0702,37.3051,42.9787,57.1484,62.6789,67.9708,71.1191,67.6435,73.2178,
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8555,68.1272,,,,,,
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,3.948967193,,,,,,,,,,38.0344,44.5,52.0,61.0,64.5,66.0,69.4659,69.7,71.4,74.1,77.0,79.0,81.0677,,,,,,
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.05006043,0.056367482000000003,0.111034621,0.410120685,0.673343541,4.378272095,8.890539159,11.34239866,15.2554,18.8188,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8599,60.6899,65.4548,69.3287,71.7157,75.9002,80.7432,84.4336,86.0636,90.8019,90.7595,89.601,91.2212
Czechia,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.581319529,1.259217838,1.45357584,1.940378193,2.915698695,3.895906065,6.832802018,9.78053,14.6972,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.1104,74.2317,75.6688,76.4812,78.7192,80.6882,80.8669,81.3389,82.6706,84.5401,85.9941
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.125892223,0.250274153,0.43528529,0.463635096,0.922541043,1.837737754,3.054805234,6.711087477,9.877852428,20.84598264,30.2163,31.6509,48.82,55.9,64.73,68.71,72.16,75.16,78.0,79.0,82.0,81.27,82.35,84.17,86.1937,87.5898,84.1652,84.3942,87.0371,88.1345,89.8129,91.4306,91.6298,92.4764
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194501,0.343526,0.486972,0.62594,0.781317,0.953611,1.27004,1.62,2.26,4.0,6.5,7.0,9.4,12.7,17.0,22.9,30.8,55.6814,58.0,59.342,62.5104,64.0414,65.0322,
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.548762737,1.165518146,,2.925345191,2.932164377,8.81484,13.2452,18.4249,23.6204,30.3196,38.5436,39.3982,40.2745,41.16,42.02,47.45,48.6,49.8,51.0,57.5,65.0,67.03,69.6197,,73.3819,75.6567,82.3506,83.3767,
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.097277268,0.194056515,0.386913951,0.578329976,1.34430775,3.82565642,5.714987841,11.38200494,22.66874615,30.59204065,39.1724,42.9575,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.6297,95.9935,96.3305,96.9678,97.0994,97.3192,98.0464,96.5491,98.8659,97.8601,98.7756
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.70469,4.42939,6.82373,7.89839,8.86555,11.4832,14.8449,17.66,20.82,27.72,31.4,38.0,42.32,45.9,49.58,54.2158,63.8709,67.5712,74.822,79.7155,81.6173,85.243,84.3832,
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491706,0.646114,1.59164,2.19536,4.63448,5.84394,7.37598,9.45119,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,49.0385,58.9776,60.6534,66.2356,71.2432,
East Asia & Pacific (excluding high income),EAP,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,1.7793959540002272e-6,0.000023370609400625673,0.0008749849340576826,0.003645225330504666,0.01192054466638582,0.03380771186906881,0.09471033297623598,0.3242811529750679,0.8529056476104601,1.8921291266215179,2.7778179938887204,4.401795316793762,5.74996840461538,6.86659412159331,8.298031538268095,10.149934004360906,14.35189908070699,19.202808306240854,23.690786936086898,28.897058038630277,32.321864513692226,35.667612158057345,38.23092194114581,41.14893226053977,44.015293561334346,47.613408185136734,50.04246014980687,55.86747509329859,60.655081253336604,66.508874141041,70.80578403965477,74.84475100659002,77.12007653317958
